"Year","Area_type","Area_code","Area_description","Maori_ethnic_group_indicator_summary_code","Maori_ethnic_group_indicator_summary_description","Median_total_personal_income_$"
"2018","Statistical Area 2","107200","Riverside","00","No 'Maori' response given","35000"
"2018","Statistical Area 2","107200","Riverside","20","Maori","29900"
"2018","Statistical Area 2","107200","Riverside","Total","Total","33500"
"2018","Statistical Area 2","107300","Raumanga","00","No 'Maori' response given","25700"
"2018","Statistical Area 2","107300","Raumanga","20","Maori","19000"
"2018","Statistical Area 2","107300","Raumanga","Total","Total","22200"
"2018","Statistical Area 2","107400","Tarewa","00","No 'Maori' response given","21600"
"2018","Statistical Area 2","107400","Tarewa","20","Maori","19900"
"2018","Statistical Area 2","107400","Tarewa","Total","Total","20600"
"2018","Statistical Area 2","107500","Morningside (Whangarei District)","00","No 'Maori' response given","26700"
"2018","Statistical Area 2","107500","Morningside (Whangarei District)","20","Maori","24000"
"2018","Statistical Area 2","107500","Morningside (Whangarei District)","Total","Total","25700"
"2018","Statistical Area 2","107600","Ngunguru","00","No 'Maori' response given","29800"
"2018","Statistical Area 2","107600","Ngunguru","20","Maori","28900"
"2018","Statistical Area 2","107600","Ngunguru","Total","Total","29500"
"2018","Statistical Area 2","107700","Otaika-Portland","00","No 'Maori' response given","32300"
"2018","Statistical Area 2","107700","Otaika-Portland","20","Maori","29300"
"2018","Statistical Area 2","107700","Otaika-Portland","Total","Total","31200"
"2018","Statistical Area 2","107800","Oakleigh-Mangapai","00","No 'Maori' response given","33800"
"2018","Statistical Area 2","107800","Oakleigh-Mangapai","20","Maori","24800"
"2018","Statistical Area 2","107800","Oakleigh-Mangapai","Total","Total","32300"
"2018","Statistical Area 2","107900","Port-Limeburners","00","No 'Maori' response given","21300"
"2018","Statistical Area 2","107900","Port-Limeburners","20","Maori","24900"
"2018","Statistical Area 2","107900","Port-Limeburners","Total","Total","22800"
"2018","Statistical Area 2","108000","Pataua","00","No 'Maori' response given","35000"
"2018","Statistical Area 2","108000","Pataua","20","Maori","24200"
"2018","Statistical Area 2","108000","Pataua","Total","Total","32800"
"2018","Statistical Area 2","108100","Onerahi Park","00","No 'Maori' response given","25800"
"2018","Statistical Area 2","108100","Onerahi Park","20","Maori","29200"
"2018","Statistical Area 2","108100","Onerahi Park","Total","Total","26500"
"2018","Statistical Area 2","108200","Sherwood Rise","00","No 'Maori' response given","24600"
"2018","Statistical Area 2","108200","Sherwood Rise","20","Maori","21300"
"2018","Statistical Area 2","108200","Sherwood Rise","Total","Total","23800"
"2018","Statistical Area 2","108300","Onerahi","00","No 'Maori' response given","31300"
"2018","Statistical Area 2","108300","Onerahi","20","Maori","21900"
"2018","Statistical Area 2","108300","Onerahi","Total","Total","28300"
"2018","Statistical Area 2","108400","Inlet Whangarei Harbour","00","No 'Maori' response given","22400"
"2018","Statistical Area 2","108400","Inlet Whangarei Harbour","20","Maori","C"
"2018","Statistical Area 2","108400","Inlet Whangarei Harbour","Total","Total","22400"
"2018","Statistical Area 2","108500","Parua Bay","00","No 'Maori' response given","36900"
"2018","Statistical Area 2","108500","Parua Bay","20","Maori","29100"
"2018","Statistical Area 2","108500","Parua Bay","Total","Total","35900"
"2018","Statistical Area 2","108600","Bream Bay","00","No 'Maori' response given","31700"
"2018","Statistical Area 2","108600","Bream Bay","20","Maori","24800"
"2018","Statistical Area 2","108600","Bream Bay","Total","Total","30300"
"2018","Statistical Area 2","108700","Marsden Bay","00","No 'Maori' response given","31300"
"2018","Statistical Area 2","108700","Marsden Bay","20","Maori","35800"
"2018","Statistical Area 2","108700","Marsden Bay","Total","Total","31800"
"2018","Statistical Area 2","108800","Ruakaka","00","No 'Maori' response given","26900"
"2018","Statistical Area 2","108800","Ruakaka","20","Maori","23900"
"2018","Statistical Area 2","108800","Ruakaka","Total","Total","26000"
"2018","Statistical Area 2","108900","Bream Head","00","No 'Maori' response given","31000"
"2018","Statistical Area 2","108900","Bream Head","20","Maori","30600"
"2018","Statistical Area 2","108900","Bream Head","Total","Total","31000"
"2018","Statistical Area 2","109000","Waipu","00","No 'Maori' response given","28600"
"2018","Statistical Area 2","109000","Waipu","20","Maori","24800"
"2018","Statistical Area 2","109000","Waipu","Total","Total","28100"
