"Year","Area_type","Area_code","Area_description","Median_weekly_rent_paid_by_household_$"
"2013","Statistical Area 2","129000","Sunnyvale West-Parrs Park","350"
"2013","Statistical Area 2","129100","Sunnyvale East","350"
"2013","Statistical Area 2","129200","Point Chevalier West","370"
"2013","Statistical Area 2","129300","Belmont (Auckland)","370"
"2013","Statistical Area 2","129400","Bayswater","230"
"2013","Statistical Area 2","129500","Glendene South","330"
"2013","Statistical Area 2","129600","Glen Eden West","340"
"2013","Statistical Area 2","129700","Herne Bay","400"
"2013","Statistical Area 2","129800","Westmere North","460"
"2013","Statistical Area 2","129900","Point Chevalier East","380"
"2013","Statistical Area 2","130000","Oratia","360"
"2013","Statistical Area 2","130100","Glen Eden Rosier","340"
"2013","Statistical Area 2","130200","Saint Marys Bay","420"
"2013","Statistical Area 2","130300","Westmere South-Western Springs","480"
"2013","Statistical Area 2","130400","Ponsonby West","420"
"2013","Statistical Area 2","130500","Kelston North","350"
"2013","Statistical Area 2","130600","Avondale Rosebank","350"
"2013","Statistical Area 2","130700","Narrow Neck","370"
"2013","Statistical Area 2","130800","Glen Eden North","290"
"2013","Statistical Area 2","130900","Glen Eden Woodglen","320"
"2013","Statistical Area 2","131000","Kelston South","310"
"2013","Statistical Area 2","131100","Waterview","310"
"2013","Statistical Area 2","131200","Ponsonby East","540"
"2013","Statistical Area 2","131300","Wynyard-Viaduct","540"
"2013","Statistical Area 2","131400","Stanley Point","510"
"2013","Statistical Area 2","131500","Glen Eden Central","320"
"2013","Statistical Area 2","131600","Grey Lynn North","520"
"2013","Statistical Area 2","131700","Avondale West (Auckland)","300"
"2013","Statistical Area 2","131800","Freemans Bay","440"
"2013","Statistical Area 2","131900","Mount Albert West","330"
"2013","Statistical Area 2","132000","Avondale North (Auckland)","350"
"2013","Statistical Area 2","132100","Grey Lynn West","360"
"2013","Statistical Area 2","132200","Mount Albert North","350"
"2013","Statistical Area 2","132300","New Lynn North","310"
"2013","Statistical Area 2","132400","Victoria Park","340"
"2013","Statistical Area 2","132500","Konini","360"
"2013","Statistical Area 2","132600","New Lynn North West","320"
"2013","Statistical Area 2","132700","Hobson Ridge North","380"
"2013","Statistical Area 2","132800","Grey Lynn Central","460"
"2013","Statistical Area 2","132900","Fruitvale","320"
"2013","Statistical Area 2","133000","Devonport","420"
"2013","Statistical Area 2","133100","Avondale Central (Auckland)","300"
"2013","Statistical Area 2","133200","Queen Street","350"
"2013","Statistical Area 2","133300","Quay Street-Customs Street","480"
"2013","Statistical Area 2","133400","Hobson Ridge Central","360"
"2013","Statistical Area 2","133500","Grey Lynn East","480"
"2013","Statistical Area 2","133600","Morningside (Auckland)","350"
"2013","Statistical Area 2","133700","Shortland Street","360"
"2013","Statistical Area 2","133800","Hobson Ridge South","350"
"2013","Statistical Area 2","133900","New Lynn Central","300"
"2013","Statistical Area 2","134000","Cheltenham","400"
"2013","Statistical Area 2","134100","Queen Street South West","350"
"2013","Statistical Area 2","134200","Mount Albert Central","360"
"2013","Statistical Area 2","134300","Karangahape","370"
"2013","Statistical Area 2","134400","Kingsland","460"
"2013","Statistical Area 2","134500","Anzac Avenue","370"
"2013","Statistical Area 2","134600","Waima-Woodlands Park","370"
"2013","Statistical Area 2","134700","Kaurilands","350"
"2013","Statistical Area 2","134800","Auckland-University","310"
"2013","Statistical Area 2","134900","New Lynn Seabrook","310"
"2013","Statistical Area 2","135000","Avondale South (Auckland)","330"
"2013","Statistical Area 2","135100","Symonds Street North West","320"
"2013","Statistical Area 2","135200","Mount Albert South","360"
"2013","Statistical Area 2","135300","Symonds Street West","380"
"2013","Statistical Area 2","135400","West Lynn","380"
"2013","Statistical Area 2","135500","Owairaka West","310"
"2013","Statistical Area 2","135600","New Lynn Central South","310"
"2013","Statistical Area 2","135700","The Strand","480"
"2013","Statistical Area 2","135800","St Lukes","420"
"2013","Statistical Area 2","135900","Symonds Street East","360"
"2013","Statistical Area 2","136000","Eden Terrace","410"
"2013","Statistical Area 2","136100","Grafton","370"
"2013","Statistical Area 2","136200","Eden Park","410"
"2013","Statistical Area 2","136300","Sandringham North","380"
"2013","Statistical Area 2","136400","Parnell West","480"
"2013","Statistical Area 2","136500","New Lynn South","320"
"2013","Statistical Area 2","136600","New Windsor North","380"
"2013","Statistical Area 2","136700","Titirangi South","380"
"2013","Statistical Area 2","136800","Owairaka East","330"
"2013","Statistical Area 2","136900","Eden Valley","320"
"2013","Statistical Area 2","137000","Sandringham Central","340"
"2013","Statistical Area 2","137100","Glenavon","270"
"2013","Statistical Area 2","137200","Blockhouse Bay North","320"
"2013","Statistical Area 2","137300","Green Bay North","350"
"2013","Statistical Area 2","137400","Parnell East","450"
"2013","Statistical Area 2","137500","Laingholm","360"
"2013","Statistical Area 2","137600","Sandringham West","370"
"2013","Statistical Area 2","137700","Mount Eden North East","440"
"2013","Statistical Area 2","137800","Mount Eden North","310"
"2013","Statistical Area 2","137900","Wesley West","220"
"2013","Statistical Area 2","138000","Green Bay South","340"
"2013","Statistical Area 2","138100","Balmoral","360"
"2013","Statistical Area 2","138200","Sandringham East","330"
"2013","Statistical Area 2","138300","New Windsor South","350"
"2013","Statistical Area 2","138400","Mount Eden West","350"
"2013","Statistical Area 2","138500","Newmarket","440"
"2013","Statistical Area 2","138600","Blockhouse Bay North East","380"
"2013","Statistical Area 2","138700","Epsom North","410"
"2013","Statistical Area 2","138800","Wesley South","170"
